id,url,headline,author,date
1,https://www.theverge.com/23200304/ios-16-beta-install-apple-how-to,How to install the latest iOS 16 and iPadOS 16 public betas,Umar Shakir,and
2,https://www.theverge.com/2023/3/31/23663214/best-ways-to-play-tetris-2023,The best ways to play Tetris in 2023,Andrew Webster,51 minutes ago
3,https://www.theverge.com/23664519/ai-industry-pause-open-letter-societal-harms,Why the AI industry could stand to slow down a little,Casey Newton,An hour ago
4,https://www.theverge.com/2023/3/31/23664451/italy-bans-chatgpt-over-data-privacy-laws,Italian regulators order ChatGPT ban over alleged violation of data privacy laws,James Vincent,Two hours ago
5,https://www.theverge.com/,Advertiser Content,,
6,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verge’s 13 favorite kitchen tools,Verge Staff,Mar 29
7,https://www.theverge.com/2023/3/31/23664437/virgin-orbit-layoffs-cease-operations-satellite-launch,Virgin Orbit to cease all operations and lay off 85 percent of its workforce,Jess Weatherbed,4:28 PM GMT+5:30
8,https://www.theverge.com/2023/3/31/23664426/google-bard-ai-chatbot-upgrades-coming-soon-sundar-pichai,Google CEO Sundar Pichai promises Bard AI chatbot upgrades soon: ‘We clearly have more capable models’,James Vincent,4:23 PM GMT+5:30
9,https://www.theverge.com/2023/3/30/23663989/summer-gaming-events-2023-e3-canceled-news-announcements,"Summer gaming events 2023: with E3 canceled, here’s what’s next",Jay Peters,4:28 AM GMT+5:30
10,https://www.theverge.com/23663889/e3-summer-gaming-events-2023-game-fest-xbox-starfield-ubisoft,"E3 might be gone, but this summer still has some big gaming events to watch",Jay Peters,3:52 AM GMT+5:30
11,https://www.theverge.com/2023/3/30/23663862/e3-2023-cancelled-esa-reedpop,"I never went to E3, but I’ll miss it anyways",Ash Parrish,3:51 AM GMT+5:30
12,https://www.theverge.com/2023/3/30/23663618/ford-f-150-lightning-price-hike-original-price,The F-150 Lightning now starts at $20K more than when it was announced,Mitchell Clark,3:35 AM GMT+5:30
13,https://www.theverge.com/2023/3/30/23660456/e3-2023-canceled,E3 2023 has been canceled,Jay Peters,and
14,https://www.theverge.com/2023/3/30/23663693/netflix-basic-with-ads-supported-apple-tv,You can now use Netflix’s cheaper ads plan on your Apple TV,Jay Peters,1:43 AM GMT+5:30
15,https://www.theverge.com/2023/3/30/23663339/amazon-sues-sellers-copyright-takedown-competitors,Amazon sues sellers for issuing bogus takedown requests on competitors,Mitchell Clark,12:58 AM GMT+5:30
16,https://www.theverge.com/2023/3/30/23663457/star-trek-starfleet-academy-paramount-plus-streaming-tv-2024,Star Trek: Starfleet Academy will follow the most ambitious students in the galaxy,Callie Wright,12:48 AM GMT+5:30
17,https://www.theverge.com/2023/3/30/23612467/framework-laptop-16-battery-parts-games,The Framework Laptop 16 is trying to bring back snap-on removable batteries,Sean Hollister,Mar 30
18,https://www.theverge.com/2023/3/30/23662961/the-last-of-us-pc-patch-performance-fixes,The Last of Us on PC gets patches to fix some performance issues,Tom Warren,Mar 30
19,https://www.theverge.com/2023/3/30/23663206/buzzfeed-ai-travel-guides-buzzy,BuzzFeed is using AI to write SEO-bait travel guides,Jay Peters,Mar 30
20,https://www.theverge.com/c/23639245/tinder-car-heist-catfish-portland-oregon,Taken for a ride,Ian Frisch,Mar 21
21,https://www.theverge.com/2023/3/30/23662976/overdrive-libby-ebook-lending-library-apps-transition,The OverDrive library ebook app is shutting down on May 1st,Umar Shakir,Mar 30
22,https://www.theverge.com/23659022/samsung-galaxy-a54-phone-preorder-deal-sale,Where to preorder Samsung’s Galaxy A54 phone,Sheena Vasani,Mar 30
23,https://www.theverge.com/good-deals/2023/3/30/23662167/ring-video-doorbell-pro-2-ps5-bundle-amazon-kindle-paperwhite-deal-sale,Ring’s best video doorbell is 30 percent off today for Verge readers,Brandon Widder,Mar 30
24,https://www.theverge.com/2023/3/30/23662996/suzume-english-dub-trailer-makoto-shinkai,The English dub trailer for Makoto Shinkai’s Suzume is for closers,Charles Pulliam-Moore,Mar 30
25,https://www.theverge.com/2023/3/30/23662000/waves-audio-engineering-plugins-subscription-creative-access-perpetual-license,Music producers revolted against an app’s subscription scheme — and won,Andrew Marino,Mar 30
26,https://www.theverge.com/2023/3/30/23663087/waymo-retire-chrysler-pacifica-minivan-ev-robotaxi,Waymo retires its Chrysler Pacifica minivans as it switches to an all-electric robotaxi fleet,Andrew J. Hawkins,Mar 30
27,https://www.theverge.com/2023/3/30/23663056/netflix-scott-pilgrim-anime-cast,Netflix is bringing back the cast of Scott Pilgrim vs. The World for its anime series,Andrew Webster,Mar 30
